z,a1,n0,n1,a0,a0_avg
0.0871,0.416413,1.0,1.0,0.97438,0.977542
0.1828,0.416141,1.0,1.0,0.974335,0.977542
0.2785,0.41634,1.0,1.0,0.974367,0.977542
0.3742,0.416334,1.0,1.0,0.974366,0.977542
0.4699,0.416351,1.0,1.0,0.974368,0.977542
0.5656,0.44681,1.0,1.0,0.97617,0.977542
0.6613,0.922178,1.0,1.0,1.0,0.977542
0.757,1.190993,0.789252,1.0,1.0,0.977542
0.8527,1.268512,0.528843,0.958545,0.981859,0.977542
0.9484,1.558976,0.372944,0.542754,0.984533,0.977542
1.0441,1.760638,0.28953,0.355438,0.984977,0.977542
1.1398,1.924434,0.250909,0.247971,0.983907,0.977542
1.2355,2.064807,0.221178,0.179661,0.982209,0.977542
1.3312,2.191749,0.187517,0.133897,0.980892,0.977542
1.4269,2.3044,0.152768,0.101398,0.979446,0.977542
1.5226,2.481823,0.075549,0.066248,0.979817,0.977542
1.6183,2.5,0.062457,0.060054,0.973734,0.977542
1.714,2.5,0.107807,0.058563,0.971245,0.977542
1.8097,2.5,0.082669,0.055662,0.964759,0.977542
1.9054,2.5,0.033664,0.051222,0.956181,0.977542
2.0011,2.5,0.077317,0.051543,0.95684,0.977542
